Who?	Sino?
He grinned broadly at us.	Ngumiti siyang malapad sa amin.
He is wearing sunglasses.	May suot siyang sunglasses.
He likes science fiction.	Gusto niya ang siyensiyang piksiyon.
He looked me in the face.	Tiningnan niya ako sa mukha.
He loves science fiction.	Mahal niya ang siyensiyang piksiyon.
He signaled them to stop.	Sinenyasan niya silang tumigil.
He told me where to shop.	Sinabi niya sa akin kung saan mamalengke.
He wants to see us again.	Gusto niya tayong makita ulit.
He was knee-deep in snow.	Hanggang sa tuhod siya nang isnow.
He was then a boy of ten.	Noon ay sampung taong gulang lang siya.
He was very busy all day.	Talagang bisi siya buong araw.
He will be back tomorrow.	Babalik siya bukas.
He wore a light blue tie.	Maputlang asul na kurbata ang sinuot niya.
Help me lift the package.	Tulungan mo akong buhatin ang paketeng ito.
How did you open the box?	Paano mo binuksan ang kahon?
How did you open the box?	Paano mo nabuksan ang kahon?
How does this soup taste?	Paano ang lasa ng sopas?
How long is the stopover?	Gaano katagal ang stopover?
How many plums are there?	Ilang sirwelas ang nandiyan?
How often do you see her?	Gaano kadalas mo siyang nakikita?
Hunger is the best sauce.	Ang gútom ang pinakamagaling na salsa.
I admit that he is right.	Inaamin kong tama siya.
I don't want to lie down.	Ayokong humiga.
I heard someone knocking.	May narinig akong tumutuktok.
I provided him with food.	Nag-alay ako ng pagkain para sa kanya.
I read a book last night.	Nagbasa ako ng aklat kagabi.
I read a book last night.	Kagabi, nagbasa ako ng aklat.
I saw her clean the room.	Nakita ko siyang naglinis ng kuwarto.
I take the bus to school.	Nagbubus akong paeskuwela.
I think it's a good idea.	Isip kong magaling na ideya.
I waited for ten minutes.	Naghintay ako ng sampung minuto.
I walked toward the park.	Naglakad ako papunta sa parke.
I will go to the meeting.	Pupunta ako sa meeting.
I wonder why he did that.	Bakit kaya niya ginawa iyon?
I'm going to take a bath.	Maliligo na ako.
I'm only thinking of you.	Iniisip ko lamang ikaw.
I'm running out of ideas.	Wala na akong maisip.
I've been to Kyoto twice.	Dalawang beses na akong nakapunta sa Kyoto.
Is it this hot every day?	Ganito ba kainit araw-araw?
It's a quote from a book.	Sipi iyon na galing sa libro.
It's six o'clock already.	Alas 6 na.
Let's just hope it works.	Umasa tayong aandar siya.
Let's leave it up to him.	Bahala na siya.
May I have this magazine?	Puwede bang akin na itong magasin?
My dog is always barking.	Laging tumatahol ang aso ko.
No one will hold us back.	Walang pipigil sa atin.
One of us has to do this.	Isa sa atin ang dapat gagawa nito.
Perhaps Tom can help you.	Baka matulungan ka ni Tom.
Plants die without water.	Namamatay ang halaman nang walang tubig.
Please speak more loudly.	Pakilaksan ang pagsasalita, nga.
Sharks are good swimmers.	Magaling tagalangoy ang pating.
She doesn't need to work.	Hindi niya kailangang magtrabaho.
She is brushing her hair.	Nagsusuklay siya ng kaniyang buhok.
She read one poem to him.	Binasa niya ang isang tula sa kanya.
She sang better than him.	Mas maganda ang pagkanta niya kaysa sa kanya.
She showed him the photo.	Pinakita niya sa kanya ang larawan.
She suddenly fell silent.	Bigla siyang tumahimik.
She took him to the lake.	Dinala niya siya sa lawa.
She went down the stairs.	Bumaba siya ng hagdan.
Shut the door behind you.	Sarhan mo ang pinto sa likod mo.
Sugar dissolves in water.	Natutunaw ang asukal sa tubig.
Take as many as you want.	Kumuha ka lang.
The bills keep piling up.	Nagpapatong-patong ang mga bayarin.
The desk is made of wood.	Gawa sa kahoy ang pupitre.
The forest is very thick.	Talagang makapal ang gubat.
The ice cream is melting.	Natutunaw ang ayskrim.
The museum is closed now.	Sarado na ang museo.
These things aren't mine!	Di akin ang mga ito.
They did not clap for us.	Di sila pumalakpak para sa atin.
They did not clap for us.	Di sila pumalakpak para sa amin.
They did the right thing.	Ginawa nila ang tama.
They put the blame on me.	Ako ang sinisi nila.
They set out on a picnic.	Umalis sila para magpiknik.
They vacationed together.	Magkasama silang nagbakasyon.
This book is about stars.	Tungkol sa mga bituwin itong libro.
This book is about stars.	Tungkol sa mga estrelya itong libro.
This book is about stars.	Tungkol sa mga tala itong aklat.
This book is about stars.	Tungkol sa mga bituin itong aklat.
This book is about stars.	Itong libro'y tungkol sa mga bituin.
This movie is just great.	Talagang mahusay ang sine.
Tom did what he was told.	Ginawa ni Tomas ang sinabi sa kanya.
Tom fell asleep in class.	Nakatulog si Tom sa klase.
Tom glanced at his watch.	Sinulyapan ni Tom ang relo niya.
Tom is going to the bank.	Papunta sa bangko si Tomas.
Tom is watching the news.	Nanonood ng balita si Tom.
Tom lied about his grade.	Nagsinungaling si Tom tungkol sa kanyang grado.
Tom took out the garbage.	Nilabas ni Tomas ang basura.
We are worried about you.	Nagwowori kami sa inyo.
We have run out of cream.	Naubusan tayo ng krema.
We need some more coffee.	Kailangan pa natin ng kape.
We ran for 10 kilometers.	Tumakbo kami nang sampung kilometro.
We watched TV last night.	Nanood kami ng TV kagabi.
Wouldn't you like to eat?	Di mo ba gustong kumain?
You must act more wisely.	Dapat kumilos ka nang mas paham.
Your room number, please.	Ang numero ng kuwarto ninyo, po.
A horse can run very fast.	Nakakatakbong mabilis ang kabayo.
Anyway, you'll never know.	Anuman ang mangyari, hindi mo malalaman.
Anyway, you'll never know.	Kung sabagay, di-kailanman mo maaalaman.
Are you free this weekend?	Libre ka ba nitong wik-end?
Bread is baked in an oven.	Nagtitinapay sa hurno.
Bring the water to a boil.	Pakuluan ang tubig.
Can you unjam the printer?	Puwede mo bang alisin ang bara sa printer?
Change trains at Shinjuku.	Magpalit ng tren sa Shinjuku.
Children like fruit juice.	Gusto ng mga bata ang frut dyus.
Do you want a little cake?	Gusto mo ng kaunting keyk?
Does he have a girlfriend?	Meron ba siyang girlfriend?
Does your friend like tea?	Gusto ba ng tsa ang kaibigan mo?
Everyone likes big pizzas.	Gusto ng lahat ang malalaking pizza.
Happiness can't be bought.	Di mabibili ang kaligayahan.
He agrees with my opinion.	Sumasangayon siya sa aking opinyon.
He came back before eight.	Bumalik siya bago mag-alas otso.
He can run faster than me.	Mas mabilis siyang tumakbo kaysa sa akin.
He got good marks in math.	Magaling ang marka niya sa matematika.
He grew up to be a doctor.	Lumaki siyang naging doktor.
He is a little over forty.	Lampas lang siya ng kuwarenta anyos.
He is interested in music.	Interesado siya sa musika.
He likes playing football.	Mahilig siyang maglaro ng football.
He often plays the guitar.	Madalas siyang tumugtog ng gitara.
He will be really pleased.	Tiyak na matutuwa siya.
Her heart was full of joy.	Ang puso niya'y puno nang kaligayahan.
How many colors are there?	Ilan ang mga kulay?
I am able to read English.	Nakakapagbasa ako ng Ingles.
I can see it in your eyes.	Nakikita ko sa mata mo.
I can't explain it either.	Di ko rin maipaliwanag.
I can't live without a TV.	Hindi ako mabubuhay nang walang telebisyon.
I can't remember his name.	Hindi ko maalala ang pangalan niya.
I can't remember his name.	Hindi ko matandaan ang pangalan niya.
I don't care what he does.	Wala akong pakialam kung anong gawin niya.
I dream of being in Japan.	Ang pangarap ko'y nasa Hapon ako.
I feel like taking a walk.	Parang gusto kong maglakad-lakad.
I go home early every day.	Maaga akong umuwi bawat araw.
I like this color as well.	Gusto ko rin itong kulay.
I like to play with words.	Gusto kong maglaro ng mga salita.
I like traveling by train.	Gusto kong magbiyaheng nakatren.
I read the New York Times.	Binasa ko ang New York Times.
I read the New York Times.	Nagbabasa ako ng New York Times.
I saw him after ten years.	Nakita ko siya pagkalipas ng sampung taon.
I saw you with a tall boy.	Nakita kitang may kasamang matangkad na lalaki.
I should ask, shouldn't I?	Dapat magtanong ako, di ba?
I understand how you feel.	Naiintindihan ko ang pakiramdam mo.
I want to be in your plan.	Gusto kong ako'y maging nasa plano mo.
I went to a haunted house.	Pumunta ako sa nimumultong bahay.
I'd love to see the movie.	Gusto kong mapanood ang pelikula.
I'm often only half-awake.	Malimit na ako'y kalahating gising lamang.
If you don't eat, you die.	Kung di ka kumain, mamamatay ka.
It hardly ever rains here.	Bihira lang umulan dito.
It has become much warmer.	Mas mainit-init na.
It may rain at any moment.	Maaaring umulan anumang oras.
It seems he's still alive.	Parang buhay pa siya.
It's almost midnight here.	Halos hatinggabi na dito.
It's totally dark outside.	Talagang madilim sa labas.
Little remains to be done.	Kaunti na lang ang kailangang gawin.
May I borrow your bicycle?	Puwede ko bang hiramin ang bisikleta mo?
Please tell me when to go.	Pakisabi sa akin kung kailan pupunta.
She denied having met him.	Tinanggi niyang natagpo niya siya.
She has an eye for beauty.	May mata siya para sa kagandahan.
She pulled her sweater on.	Hinila niyang pataklob ang sweater niya.
Speak more slowly, please!	Pakibagalan niyo po ang inyong pagsasalita.
Speak more slowly, please!	Dahan-dahan magsalita, nga!
Suddenly it began to rain.	Biglang umulan.
Suddenly, it became noisy.	Biglang naging maingay.
The bell has not rung yet.	Di pa kumalembang ang kampana.
The station is pretty far.	Medyo malayo ang estasyon.
Their daughter is a nurse.	Nars ang anak nilang babae.
There are almost no books.	Halos walang mga libro.
There is no TV in my room.	Walang TV sa kuwarto ko.
They elected him chairman.	Hinalal nila siyang chairman.
They fought until the end.	Nag-away sila hanggang sa katapusan.
This box is full of books.	Puno ng aklat itong kahon.
This desk is made of wood.	Gawa sa kahoy itong sulatan.
Tom drank a cup of coffee.	Uminom ng tasang kape si Tomas.
Tom is facing a challenge.	Humaharap ng hamon si Tom.
Tom likes science fiction.	Gusto ni Tomas ang siyensiyang piksiyon.
Tom loves science fiction.	Mahal ni Tomas ang siyensiyang piksiyon.
We are having a good time.	Nagkakasayihan kami.
We bought the man's house.	Binili namin ang bahay ng mama.
We bought the man's house.	Binili natin ang bahay ng mama.
We had a party last night.	May parti kami kagabi.
We kept quiet in the room.	Nanahimik kami sa silid.
We're going to come again.	Babalik kami muli.
What about his girlfriend?	Ano naman ang kasintahan niya?
What did Tom say about me?	Anong sinabi ni Tom tungkol sa akin?
What happened to our food?	Anong nangyari sa pagkain natin?
Whatever she says is true.	Anumang sinasabi niya'y totoo.
When can we eat, I wonder.	Kailan tayo kakain, kaya.
Where is the nearest bank?	Saan ang pinakamalapit na bangko dito?
Which shoes are too small?	Aling sapatos ang napakaliit?
You must do as I tell you.	Sumunod ka sa sasabihin ko.
You'd better not go there.	Mas magaling na huwag mong puntahan iyon.
You've given me your cold.	Nahawa ako sa sipon mo.
Your house needs painting.	Kailangan ng pintura ng bahay mo.
Almost no one believed him.	Halos walang naniwala sa kanya.
Bad weather is no obstacle.	Ang hindi magandang panahon ay hindi hadlang.
Can I borrow this umbrella?	Pwede ko bang hiramin itong payong?
Can I speak to Tom, please?	Maaari ko bang makausap si Tom?
Can you find your way home?	Alam mo ba ang daan pauwi sa inyo?
Did you receive the letter?	Natanggap mo na ba ang sulat?
Do you drink tea or coffee?	Umiinom ka ba ng tsa, o kape?
Do you prefer meat or fish?	Alin ang mas gusto mo, ang ulam, o ang isda?
Do you really want to know?	Gusto mo talagang malaman?
Do you really want to know?	Gusto mo talagang maalaman?
Do you want to take a look?	Gusto mo bang tignan?
Do your homework right now.	Gawin mo na ang takdang-aralin mo.
Don't pick on younger kids.	Huwag kang pumatol sa mas bata sa iyo.
Have you ever seen a koala?	Nakakita ka na ba ng koala?
He is an artist in a sense.	Sa isang sens, artista siya.
He is hunted by the police.	Pinaghahahanap siya ng mga pulis.
He painted his bicycle red.	Pininturahan niya ang bisikleta niyang pula.
He smiled and said goodbye.	Ngumiti siya, tapos nagpaalam.
He studies Chinese as well.	Nag-aaral din siya ng Intsik.
He wants to sing old songs.	Gusto niyang kumanta ng mga lumang kanta.
He will get well very soon.	Malapit na siyang gumaling.
He's a high school student.	Hayskul na estudyante siya.
He's definitely not coming.	Talagang di siya paparini.
He's writing a long letter.	Nagsusulat siya ng mahabang liham.
How about going to a movie?	Ano kaya kung pumunta sa sine?
How about some more coffee?	Gusto pa ninyo ng kape?
How much money do you want?	Magkano ang kailangan mo?
I advised him not to drive.	Pinaalala ko siyang huwag magmaneho.
I am just going for a walk.	Maglalakad-lakad lang ako.
I didn't want to come here.	Di ko gustong pumarini.
I don't see any difference.	Di ko kita ang kaibahan.
I had intended to go there.	Balak kong pumaroon.
I have a few English books.	Konti lang ang libro kong Ingles.
I have never been to Paris.	Hindi pa ako nakapunta sa Paris.
I have to go to the toilet.	Kailangan kong gumamit ng palikuran.
I know where he comes from.	Alam ko kung saan siya nanggaling.
I like to travel by myself.	Gusto kong magbiyahe nang magsarili.
I like your way of smiling.	Gusto ko kung paano ka ngumingiti.
I prefer oranges to apples.	Gusto ko mas ang dalandan kaysa sa mansanas.
I really wanted to see Tom.	Gusto ko talaga makita si Tom.
I see a flower on the desk.	Kita kong may bulaklak sa ibabaw ng pupitre.
I suspect that he is lying.	Palagay ko nagsisinungaling siya.
I think it was intentional.	Sa tingin ko sinadya iyon.
I wish I could go to Japan.	Sana makapunta ako ng Japan.
I wish he were on our team.	Sana nasa pangkat natin siya.
I'd like a map of the city.	Gusto ko ng mapa ng siyudad.
I'll be back at six-thirty.	Babalik ako nang alas 6 y medya.
I'll open the window a bit.	Bubuksan kong kaunti ang bintana.
I'm not afraid of anything.	Wala akong kinatatakutan.
I've been on edge recently.	Nitong mga nakaraang araw, hindi ako mapakali.
It's a pleasure to be here.	Masaya akong nandito ako.
It's none of your business.	Wala kang pakialam doon.
It's not worth crying over.	Walang kuwentang pag-iyakan.
Let's go by taxi, shall we?	Magtaksi tayo, ano?
Let's have a picture taken.	Magpakuha tayo ng litrato.
Many young men went to war.	Maraming batang lalaki ang pumunta sa digmaan.
No one could find the cave.	Walang makahanap ng kuweba.
No one trusts him any more.	Wala nang nagtitiwala sa kanya.
Nobody can know everything.	Walang taong makakaalam ng lahat.
Nobody lives in this house.	Walang nakatira sa bahay na ito.
Please don't speak so fast.	Huwag pong magsalita nang napakabilis.
Please turn down the radio.	Pakibaba ng radyo.
Please wake me up at seven.	Pakigising ako nang alas siyete.
She just leaned against me.	Sumandal siya sa akin.
That's very naughty of you.	Pilyo ka.
That's your responsibility.	Responsibilidad mo iyan.
The box was open and empty.	Bukas ang kahon at walang laman.
The cat is under the table.	Nasa ilalim ng mesa ang pusa.
The dog was burnt to death.	Sinunog ang aso hanggang mamatay ito.
The leaves have all fallen.	Lumagpak na ang mga dahon.
The store closes at eleven.	Nagsasara ang tindahan nang alas onse.
The students have returned.	Bumalik na ang mga estudyante.
The water has been cut off.	Pinatay ang tubig.
There were no clouds today.	Walang ulap ngayong araw.
There's hope for everybody.	May pag-asa para sa lahat.
These bananas are not ripe.	Di pa hinog ang mga saging na ito.
They watched me in silence.	Pinanuod nila ako sa katahimikan.
This girl changed her look.	Iniba nitong dalaga ang itsura niya.
This is a book about stars.	Itong libro ay tungkol sa mga bituin.
This is just a paperweight.	Ito'y pisapapeles lamang.
This is me eating a banana.	Ito akong kumakain ng saging.
This is never going to end.	Di ito matatapos.
This radio is out of order.	Sira itong radyo.
Tom has moved to Australia.	Lumipat si Tom sa Australya.
Tom poured himself a drink.	Nagbuhos si Tomas ng inumin para sa sarili niya.
Tom would like some coffee.	Gusto ni Tomas ng kape.
We usually eat cooked fish.	Kadalasan, kumakain kami ng isda.
We worry about your future.	Nagwowori kami sa iyong kinabukasan.
Well, what happened to her?	Oh, ano'ng nangyari sa kanya?
What Tom ate was delicious.	Masarap ang kinain ni Tomas.
What are you going to play?	Anong lalaruin mo?
What are you talking about?	Ano ba ang sinasabi mo?
What are you talking about?	Ano bang sinasabi mo?
What's the matter with you?	Anong problema mo?
What's your favorite color?	Anong paborito mong kulay?
When did you buy the watch?	Kailan mo binili ang relo?
Where is there a drugstore?	Nasaan ang may botika?
Where is there a drugstore?	Nasaan ang may parmasya?
Why don't you come with me?	Ba't di ka sumama sa akin?
Why wouldn't they be happy?	Bakit naman hindi sila magiging masaya?
You are always complaining.	Masyado kang mareklamo.
You had better tell me now.	Dapat sabihin mo na sa akin.
You haven't changed at all.	Hindi ka nagbago.
You lied to me, didn't you?	Nagsinungaling ka sa akin, di ba?
You may be late for school.	Mahuhuli ka na sa eskwela.
You need to have breakfast.	Kailangan mong mag-almusal.
You should give up smoking.	Itigil mo na ang paninigarilyo.
"May I join you?" "Why not?"	"Puwede bang samahan kita?" "Bakit hindi?"
A dog suddenly jumped at me.	May asong biglang dumamba sa akin.
Are you selling these lamps?	Ipinagbibili ninyo ba ang pupitreng lampara dito?
Come into the room after me.	Sumunod ka sa akin sa silid.
Cookie is under 5 years old.	Wala pang limang taong gulang si Cookie.
Did you carry out your plan?	Sinundan mo ba ang plano mo?
Did you have a good weekend?	Marikit ba ang wik-end mo?
Do you sell desk lamps here?	Ipinagbibili ninyo ba ang pupitreng lampara dito?
Do you want anything to eat?	Gusto ninyong kumain ng anuman?
Don't walk alone after dark.	Huwag kang maglakad nang sarili pagka madilim na.
Everybody desires happiness.	Gusto ng lahat ang kaligayahan.
French developed from Latin.	Ang Pranses ay nagdebelop sa Latin.
He annoys me with questions.	Makulit siyang magtanong sa akin.
He failed to come yesterday.	Hindi siya nakarating kahapon.
He lives alone in the woods.	Nakatira siya nang sarili sa gubat.
He pretended to be a doctor.	Nagkunwari siyang doktor.
He pretended to be sleeping.	Nagkunwari siyang natutulog.
He put the box on the table.	Inilagay niya ang kahon sa mesa.
He really knows how to cook.	Talagang marunong siyang magluto.
He talked about her illness.	Pinag-usapan niya ang sakit niya.
He threw a stone at the dog.	Binato niya yung aso ng bato.
He told me his life's story.	Sinabi niya sa akin ang istorya ng buhay niya.
He was talking as he walked.	Nagsasalita siya nang naglalakad siya.
Here's a big map of Germany.	Ito'y malaking mapa ng Alemanya.
Here's a big map of Germany.	Are'y malaking mapa ng Alemanya.
His hair was long last year.	Mahaba ang buhok niya noong lumipas na taon.
Hold the ball in both hands.	Hawakan ang bola nang parehong kamay.
How come she hung up on you?	Bakit ka niya binabaan ng telepono?
How did you get to know him?	Paano mo nakilala siya?
How did you learn Esperanto?	Paano ka natuto ng Esperanto?
How do you like your coffee?	Paano mo gusto ang kape mo?
How long do you want it for?	Gaano mo sya katagal na gusto?
I bought it for ten dollars.	Binili ko ito nang sampung dolyar.
I didn't get along with her.	Hindi ko kabisado siya.
I don't understand anything.	Wala akong naiintindihan.
I fell asleep while reading.	Nakatulog ako nang nagbabasa.
I go shopping every morning.	Namamalengke ako bawat umaga.
I have some noisy neighbors.	Mayroon akong maiingay na mga kapitbahay.
I haven't the faintest idea.	Wala akong kaalam-alam.
I really like these stories.	Talagang gusto ko itong mga kuwento.
I showered before breakfast.	Nagdutsa ako bago mag-almusal.
I usually go to bed at nine.	Karaniwang nasa kama na ako nang alas nuwebe.
I want you to do it at once.	Gusto kong gawin mo agad.
I was born in Kyoto in 1980.	Pinanganak ako sa Kyoto noong 1980.
I will start after he comes.	Magsisimula ako pagdating niya.
I'll peel an orange for you.	Magtatalop ako ng dalandan para sa 'yo.
I've heard you've been sick.	Ang balita ko nagkasakit ka raw.
Is he a hardworking student?	Masipag na estudyante ba siya?
It is a sheer waste of time.	Talagang aksaya ng panahon iyon.
It is easier than I thought.	Mas madali iyon kaysa sa aking akala.
It rained all day yesterday.	Umulan buong araw kahapon.
It was very windy yesterday.	Napakahangin kahapon.
Learn from others' mistakes.	Matuto ka mula sa pagkakamali ng iba.
Let's start with Lesson Ten.	Magsimula tayo sa ika-10 leksiyon.
May I have a napkin, please?	Isang napkin, nga?
My mother is a teacher, too.	Ang aking ina ay isa ring guro.
My uncle has a large family.	Malaki ang pamilya ng tiyo ko.
No one believed me at first.	Walang naniwala sa akin nung una.
Please give me a cup of tea.	Isang tasang tsa, nga.
Please paint the door white.	Pakipinturahan ang pintong puti.
Please pour me a little tea.	Kaunting tsa, nga.
Please put on your slippers.	Magsuot po kayo ng tsinelas.
Rome was not built in a day.	Di nagawa ang Roma sa isang araw.
Selling cars is my business.	Ang pagbenta ng mga kotse ang aking negosyo.
She didn't have any pencils.	Wala siyang pensil.
She intended to go shopping.	Tinangka niyang mamalengke.
She is proficient in French.	Magaling siya sa Pranses.
She was trembling with fear.	Nanginginig siya sa takot.
She will give birth in July.	Manganganak siya sa July.
She will give birth in July.	Sa July siya manganganak.
Someone is calling for help.	May tumatawag ng tulong.
Thanks for your explanation.	Salamat sa iyong paliwanag.
The cat sleeps on the table.	Natutulog ang pusa sa mesa.
The party is just beginning.	Nagsisimula pa lang ang party.
The rain spoiled our picnic.	Sinira ng ulan ang piknik namin.
The ship left ahead of time.	Maagang umalis ang barko.
The train station is nearby.	Malapit ang estasyon ng tren.
The trip was very expensive.	Talagang mahal ang biyahe.
The wound is not yet healed.	Hindi pa magaling ang sugat.
There are five pencils here.	May limang lapis dito.
There are five pencils here.	Mayroong limang lapis dito.
There seems to be a mistake.	Mukhang may mali.
There's no one sitting here.	Walang nakaupo rito.
They stayed up late talking.	Nagpuyat silang leyt nang nagdadaldalan.
Tom chose to live in Boston.	Pinili ni Tomas na tumira sa Boston.
Tom expected this to happen.	Inasahan na ni Tom na mangyayari ito.
Tom is currently unemployed.	Walang trabaho si Tomas ngayon.
Tom thanked me for the gift.	Pinasalamatan ako ni Tom para sa regalo.
Tom's parents don't like me.	Hindi ako gusto ng mga magulang ni Tom.
What did she whisper to you?	Anong binulong niya sa iyo?
Which of you was here first?	Sino ang nauna sa inyo?
Which team is likely to win?	Aling pangkat ang nakalalamang?
Who do you want to speak to?	Kanino mo gustong magsalita?
Who was the book written by?	Sinong sumulat ng libro?
Who's up for some ice cream?	Sino may gusto ng sorbetes?
Why are you telling me this?	Bakit mo sinasabi yan sa akin?
Why did she come home early?	Bakit siya umuwi nang maaga?
Would you like to be seated?	Gusto niyo po bang umupo?
Write your name and address.	Isulat mo ang pangalan at address mo.
You can always count on Tom.	Maaasahan mo si Tom.
You must be back before ten.	Bumalik ka bago mag ika-10.
You will see the difference.	Makikita mo ang kaibahan.
All those flowers look alike.	Magkamukha ang lahat niyong bulaklak.
Are you all set for the trip?	Handa na ba kayo para sa biyahe?
Are you bringing your camera?	Dadalhin mo ba ang kamera mo?
As for me, I don't like eggs.	Ayoko ng itlog.
Can you tell me what this is?	Puwede mo bang sabihin sa akin kung ano ito?
Can your brother drive a car?	Marunong bang magmaneho ng kotse ang kapatid mong lalaki?
Don't tell Father about this.	Huwag mong sabihin sa tatay tungkol nito.
Draw me a seven-pointed star.	Ipagdrowing mo ako ng bituwin na may pitong dulo.
Each individual is different.	Ang bawat indibidwal ay iba.
Europeans like to drink wine.	Mahilig sa alak ang mga European.
Fishing is my favorite hobby.	Pangingisda ang libangang paborito ko.
Have you ever eaten raw fish?	Nakakain ka na ba ng hilaw na isda?
Have you ever eaten raw fish?	Nakakain ka na ba ng hilaw na mga isda?
Have you ever heard him sing?	Napakinig mo na ba siyang kumanta?
He is an expert in astronomy.	Eksperto siya sa astronomiya.
He is fond of playing tennis.	Gusto niyang magtenis.
He knows New York inside out.	Labas at loob niyang alam ang New York.
He lived alone in the forest.	Tumira siyang mag-isa sa gubat.
He mentioned your name to me.	Binanggit niya ang pangalan mo sa akin.
He thinks only about himself.	Sarili lang nya iniisip nya.
He took a book off the shelf.	Kumuha siya ng libro sa aklatan.
He took out a piece of chalk.	Pinalabas niya ang isang pirasong tsok.
He was able to read the book.	Nakakapagbasa siya ng aklat.
He was wounded in the battle.	Nasugatan siya sa labanan.
He wrote a book on porcelain.	Sumulat siya ng libro tungkol sa porselana.
Her skin is whiter than snow.	Mas maputi pa ang kanyang balat sa niyebe.
His new film is worth seeing.	May halagang makita ang bagong pelikula niya.
His wife nags him constantly.	Madalas siyang pinapagalitan ng asawa niya.
How did you come to know her?	Paano kayo nagkakilala?
How many flowers did you buy?	Ilang bulaklak ang binili mo?
How much longer will it take?	Gaano pa katagal?
I also heard a similar story.	Naparinig ko rin ang kahawig na kuwento.
I bought my sister a new hat.	Binilhan ko ang kapatid kong babae ng bagong sumbrero.
I don't care how old you are.	Wala akong paki-alam kung gaano ka katanda.
I don't care how old you are.	Wala akong paki-alam kung gaano kayo katanda.
I followed him into his room.	Sinundan ko siya sa kaniyang kuwarto.
I gazed at the sea for hours.	Tumanaw ako sa dagat nang ilang oras.
I got up at six this morning.	Alas sais ako gumising nitong umaga.
I have a good sense of smell.	Magaling ang pandama kong pang-amoy.
I have access to his library.	May akses ako sa kanyang laybrari.
I love you with all my heart.	Buong puso kitang minamahal.
I ordered pizza by telephone.	Nag-order ako ng pizza sa telepono.
I put some milk in my coffee.	Nilagyan ko ng gatas ang kape ko.
I rarely listen to the radio.	Madalang akong makinig sa radyo.
I saw the man enter the room.	Nakita ko 'yong taong pumasok sa silid.
I told him to leave the room.	Sabi kong umalis siya sa silid.
I want Tom to know the truth.	Gusto kong malaman ni Tom ang katotohanan.
I was alone in the classroom.	Nag-isa ako sa silid ng klase.
I'd like to attend the party.	Gusto kong mag-atend ng parti.
I'm sorry, I can't stay long.	Sori, pero di ako puwedeng magtagal.
In my opinion, he is correct.	Sa tingin ko, tama siya.
Is there life in outer space?	May buhay ba sa labas na espasyo?
It's all in your imagination.	Lahat ito'y sa guni-guni mo.
It's going to rain, for sure.	Uulan panigurado.
It's going to rain, for sure.	Siguradong uulan.
Mary showed the letter to me.	Pinatingin ni Maria sa akin ang sulat.
Our teacher looks very young.	Mukhang talagang bata ang titser namin.
Shall we walk to the station?	Maglakad kaya tayo sa estasyon?
She has a flower in her hand.	May bulaklak siya sa kamay niya.
She saw a tall man yesterday.	Nakita niya ang isang matangkad na lalaki kahapon.
She writes to him every week.	Nagsusulat sya sa kanya linggo linggo.
Tell me how to play the game.	Turuan mo akong maglaro.
The ice is too hard to crack.	Masyadong matigas ang yelo para mabiyak.
There is a desk in this room.	May sulatan sa kuwartong ito.
There is a house on the hill.	May bahay sa burol.
There is a large supermarket.	Mayroong malaking supermarket.
They are talking about music.	Pinag-uusapan nila ang musika.
They each received a present.	Binigyan ang bawat isa ng pasalubong.
This is the very best method.	Ito ang pinakamainam na paraan.
This student's books are new.	Bago ang mga libro ng estudyanteng ito.
This student's books are new.	Bago ang mga aklat ng estudyanteng ito.
This student's books are new.	Bago ang mga aklat ng mag-aaral na ito.
This student's books are new.	Bago ang mga libro ng mag-aaral na ito.
Tom doesn't know where it is.	Hindi alam ni Tom kung nasaan iyon.
Tom doesn't remember my name.	Di matandaan ni Tomas ang pangalan ko.
Tom listened to me carefully.	Nakinig ng mabuti sa akin si Tom.
Tom was the star of the show.	Si Tom ang bida sa palabas.
We need you to get here ASAP.	Kailangan ka namin dito ngayon din.
What is the capital of Haiti?	Ano ang kabisera ng Haiti?
What would you like to drink?	Anong gusto mong inumin?
What's your favorite perfume?	Anong paborito mong pabango?
What's your favorite podcast?	Anong paborito mong podcast?
Who wants some hot chocolate?	Sinong gusto ng mainit na tsokolate?
Why are people scared of you?	Bakit takot ang mga tao sa iyo?
Will he fail the examination?	Babagsak kaya siya sa pagsusulit?
Will you sell your car to me?	Ipagbibili mo ba sa akin ang awto mo?
Would 9 o'clock be all right?	Ayos ba ang nayn oklak?
Would 9 o'clock be all right?	Ayos ba ang alas nuwebe?
Would you like a cup of milk?	Gusto mo ba ng isang tasang gatas?
You are not a child any more.	Hindi ka na bata.
You may not pick the flowers.	Hindi mo pwedeng pitasin ang mga bulaklak.
You must not go out at night.	Dapat huwag kang lumabas sa gabi.
You should get your hair cut.	Pagupit ka na ng buhok.
You should have come earlier.	Dapat dumating ka nang mas maaga.
You've done more than enough.	Labis nang husto ang ginawa mo.
A dog was run over by a truck.	Isang aso ang nasagasaan ng trak.
Close the door when you leave.	Sarhan mo ang pinto pag-alis mo.
Do I have to do it over again?	Dapat ko bang ulitin?
Do you speak French every day?	Nagsasalita ka ba ng Pranses araw-araw?
Don't call us, we'll call you.	Huwag mo kaming tawagan. Kami ang tatawag sa'yo.
Don't forget to bolt the door.	Huwag mo kalimutang ikandado ang pinto.
Have you ever traveled by air?	Nakabiyahe ka na bang palipad?
